Comment,Designator,Footprint,LCSC Part #（optional）
5.1KΩ,"R1, R2",0603_R,C23186
10KΩ,"R3, R6",0603_R,C25804
22Ω,"R4, R5",0603_R,C23345
470Ω,R7,0603_R,C23179
ATmega32U4-AU,U1,QFP-44_10x10x08P,C44854
Switch,S1,SMD-SW-4_5.1x5.1x1.5,C318884
16MHz 18pF,X1,SMD-3225_4P,C13738
Schottky,D0,"SMB,DO-214AA",C8598
Switching Diode,"DU0A, DU0B, DU1A, DU1B, DU1C, DU1D, DU1E, DU02, DU2A, DU2B, DU2C, DU2D, DU2E, DU03, DU3A, DU3B, DU3C, DU3D, DU3E, DU4A, DU4B, DU4C, DU4D, DU4E, DU05, DU08, DU10, DU11, DU12, DU13, DU14, DU15, DU16, DU17, DU18, DU19, DU20, DU21, DU22, DU23, DU24, DU25, DU26, DU27, DU28, DU29, DU30, DU31, DU32, DU33, DU34, DU35, DU36, DU37, DU38, DU39, DU40, DU41, DU42    , DU43, DU44, DU45, DU46, DU47, DU48, DU49",SOD-123,C81598
0.1uF,"C1, C2, C3, C4, C5, C10, C11, C12, C13, C14, C15, C16",0603_C,C14663
4.7uF,C6,0603_C,C19666
22pF,"C7, C8",0603_C,C1653
1uF,C9,0603_C,C15849
WS2812B-B,"LED1, LED2, LED3, LED4, LED5, LED6",LED-4_5050,C114586